ELECTION,ELECTION,ELECTION,OFFICE TYPE,OFFICE,US CONGRESS,STATE SENATE,STATE ASSEMBLY,COURT OF APPEALS,COUNTY,COUNTY,MUNICIPALITY,MUNICIPALITY,MUNICIPALITY,HINDI,ORDER,REPORTING UNIT,Jay N. Conley,Vance M. Waggoner,Edward Burke,Scattering ,,
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,12,Nekimi,71012,2,Wards 1 & 2,8,50,9,21,8,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,14,Nepeuskun,71014,1,,0,19,7,3,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,16,Omro,71016,1,Wards 1 - 3,9,49,11,18,5,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,18,Oshkosh,71018,2,Wards 1 - 6,23,59,28,39,29,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,20,Poygan,71020,1,Wards 1 & 2,3,32,14,8,8,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,22,Rushford,71022,1,Wards 1 & 2,4,41,5,8,9,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,18,53,2,71,Winnebago,Town,24,Utica,71024,1,Wards 1 & 2,6,46,18,19,8,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,26,Vinland,71026,1,Wards 1 - 3,11,37,16,32,6,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,28,Winchester,71028,1,Wards 1 & 2,8,39,22,23,14,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,30,Winneconne,71030,3,Wards 1 - 3,12,54,25,34,27,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Town,32,Wolf River,71032,1,Wards 1 & 2,2,20,11,19,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,56,2,71,Winnebago,Village,191,Winneconne,71191,1,Wards 1 - 4,8,47,19,18,20,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,201,Appleton,71201,3,Ward 38,5,28,25,11,6,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,201,Appleton,71201,5,Ward 39,0,0,2,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,201,Appleton,71201,7,Ward 49,0,0,0,0,0,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,251,Menasha,71251,8,Wards 1 & 2,4,33,11,74,12,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,251,Menasha,71251,9,"Wards 3, 4, 7, 12 & 13",7,46,17,71,16,1
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,251,Menasha,71251,11,"Wards 5, 6 & 22",4,33,14,49,10,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,251,Menasha,71251,12,"Wards 8 - 10, 14 & 18",2,29,20,32,5,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,261,Neenah,71261,18,Wards 1 - 4,27,90,50,138,17,2
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,261,Neenah,71261,19,Wards 5 - 8,8,96,55,105,13,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,261,Neenah,71261,20,Wards 9 - 12 & 30,44,171,58,256,34,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,261,Neenah,71261,22,"Wards 13 - 16, 27, 28, 33 & 35",11,141,59,162,27,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,261,Neenah,71261,24,"Wards 17 - 20, 29 & 32",9,102,38,133,14,0
16-Feb-10,SPRING,PRIMARY,CIRCUIT,"Winnebago County Circuit Court, Branch 5",6,19,55,2,71,Winnebago,City,261,Neenah,71261,25,"Wards 21 - 26, 31 & 34",19,181,71,214,30,0
